tmin	tier	text	tmax
639.811898	IU/tone	5521	640.978254
639.811898	EU/tone	5521	640.978254
639.811898	word	中午	640.978254
640.978254	EU/tone	5551	642.108443
640.978254	word	吃飯	642.108443
640.978254	IU/tone	5551	642.108443
644.000682	EU/tone	5521	644.922916
644.000682	IU/tone	5521	644.922916
644.000682	word	中午	644.922916
644.922916	EU/tone	5551	645.836110
644.922916	word	吃飯	645.836110
644.922916	IU/tone	5551	645.836110
649.843086	word	下午	650.882860
649.843086	EU/tone	5521	650.882860
649.843086	IU/tone	5121	650.882860
651.208355	IU/tone	21	651.664952
651.208355	word	有	651.664952
651.208355	EU/tone	21	651.664952
655.913422	EU/tone	5521	657.021007
655.913422	IU/tone	5121	657.021007
655.913422	word	下午	657.021007
657.021007	EU/tone	21	657.694600
657.021007	IU/tone	21	657.694600
657.021007	word	有	657.694600
657.694600	IU/tone	5535	659.023703
657.694600	word	中文	659.023703
657.694600	EU/tone	5535	659.023703
659.023703	word	課	659.674692
659.023703	IU/tone	51	659.674692
659.023703	EU/tone	51	659.674692
662.950955	EU/tone	5521	664.293620
662.950955	IU/tone	5121	664.293620
662.950955	word	下午	664.293620
664.293620	IU/tone	21	664.967213
664.293620	word	有	664.967213
664.293620	EU/tone	21	664.967213
664.967213	EU/tone	5535	666.183297
664.967213	word	中文	666.183297
664.967213	IU/tone	5535	666.183297
666.183297	EU/tone	51	666.617290
666.183297	word	課	666.617290
666.183297	IU/tone	51	666.617290
672.426327	word	?	673.420894
672.426327	EU/tone	3521	673.420894
673.579121	EU/tone	3551	674.257234
673.579121	word	?	674.257234
679.466977	EU/tone	5151	680.538397
679.466977	IU/tone	5151	680.538397
679.466977	word	月亮	680.538397
681.962370	IU/tone	2151	683.196537
681.962370	word	晚上	683.196537
681.962370	EU/tone	2151	683.196537
684.602493	word	晚上	685.664871
684.602493	IU/tone	2151	685.664871
684.602493	EU/tone	2151	685.664871
688.564255	word	睡覺	689.549780
688.564255	IU/tone	5151	689.549780
688.564255	EU/tone	5151	689.549780
691.747537	IU/tone	5151	692.692375
691.747537	word	睡覺	692.692375
691.747537	EU/tone	5151	692.692375
694.066686	IU/tone	5151	695.187834
694.066686	EU/tone	5151	695.187834
694.066686	word	睡覺	695.187834
696.440754	EU/tone	5151	697.516694
696.440754	IU/tone	5151	697.516694
696.440754	word	睡覺	697.516694
700.512914	IU/tone	2151	702.045451
700.512914	word	晚上	702.045451
700.512914	EU/tone	2151	702.045451
702.045451	word	要	702.723565
702.045451	IU/tone	51	702.723565
702.045451	EU/tone	51	702.723565
702.723565	IU/tone	5151	704.120479
702.723565	EU/tone	5151	704.120479
702.723565	word	睡覺	704.120479
706.364605	IU/tone	2151	707.752478
706.364605	word	晚上	707.752478
706.364605	EU/tone	2151	707.752478
707.752478	EU/tone	51	708.335655
707.752478	word	要	708.335655
707.752478	IU/tone	51	708.335655
708.335655	word	睡覺	709.551739
708.335655	EU/tone	5151	709.551739
708.335655	IU/tone	5151	709.551739
711.879029	EU/tone	2151	713.266902
711.879029	word	晚上	713.266902
711.879029	IU/tone	2151	713.266902
713.266902	word	要	713.822955
713.266902	IU/tone	51	713.822955
713.266902	EU/tone	51	713.822955
713.822955	word	睡覺	714.944103
713.822955	EU/tone	5151	714.944103
713.822955	IU/tone	5151	714.944103
718.797120	IU/tone	2151	719.999642
718.797120	EU/tone	2155	719.999642
718.797120	word	早上	719.999642
719.999642	EU/tone	21	720.411031
719.999642	IU/tone	21	720.411031
719.999642	word	有	720.411031
720.411031	EU/tone	5535	721.685885
720.411031	word	太陽	721.685885
720.411031	IU/tone	5135	721.685885
726.123493	word	跑	727.404516
726.123493	EU/tone	21	727.404516
726.123493	IU/tone	21	727.404516
738.731253	EU/tone	2151	739.468136
738.731253	word	早上	739.468136
738.731253	IU/tone	2151	739.468136
739.468136	IU/tone	21	739.757465
739.468136	word	有	739.757465
739.468136	EU/tone	21	739.757465
739.757465	word	太陽	740.327080
739.757465	IU/tone	5135	740.327080
739.757465	EU/tone	5535	740.327080
743.261900	IU/tone	2151	744.247425
743.261900	EU/tone	2151	744.247425
743.261900	word	早上	744.247425
744.247425	IU/tone	21	744.645252
744.247425	EU/tone	21	744.645252
744.247425	word	有	744.645252
744.645252	IU/tone	5135	745.703109
744.645252	EU/tone	5135	745.703109
744.645252	word	太陽	745.703109
748.078941	EU/tone	5521	748.634994
748.078941	IU/tone	5521	748.634994
748.078941	word	中午	748.634994
748.634994	IU/tone	5551	749.249817
748.634994	EU/tone	5551	749.249817
748.634994	word	吃*飯	749.249817
749.249817	word	吃飯	750.284337
749.249817	IU/tone	5551	750.284337
749.249817	EU/tone	5551	750.284337
752.282938	IU/tone	5521	753.331753
752.282938	EU/tone	5521	753.331753
752.282938	word	中午	753.331753
753.331753	word	吃飯	754.285633
753.331753	EU/tone	5551	754.285633
753.331753	IU/tone	5551	754.285633
756.174844	IU/tone	5521	757.088037
756.174844	EU/tone	5521	757.088037
756.174844	word	中午	757.088037
757.088037	EU/tone	5551	758.335766
757.088037	word	吃飯	758.335766
757.088037	IU/tone	5551	758.335766
766.897687	IU/tone	5121	767.806359
766.897687	EU/tone	5121	767.806359
766.897687	word	下午	767.806359
769.756880	EU/tone	5121	770.742406
769.756880	word	下午	770.742406
769.756880	IU/tone	5121	770.742406
770.742406	EU/tone	21	771.388874
770.742406	word	有	771.388874
770.742406	IU/tone	21	771.388874
771.388874	word	中文	772.274943
771.388874	IU/tone	5535	772.274943
